method,pf,pm,td,detected,det_H25,det_H50,det_H100,mean_logBIR,max_logBIR,rep_id,job_id,scenario_id,block_id,rep_start,rep_end,study,fault_type,step_delta,w_roll,gamma_online,online_contamination,offline_contamination,eps_offline,alpha_adaptive,c_liu_T2,c_class_roll,c_rrh_075,c_rrh_085,c_rrh_adaptive
Liu_F_offline,0.035634743875278395,0.9726848767488341,31,1,0,1,1,-0.01733997483652712,0.2675670842466502,3,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.051224944320712694,0.9580279813457695,0,1,1,1,1,-0.01733997483652712,0.2675670842466502,3,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.0645879732739421,0.9487008660892738,0,1,1,1,1,0.021892034286770657,0.39798474720730237,3,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.07349665924276169,0.9513657561625583,0,1,1,1,1,-0.011759104143249335,0.26994038080351235,3,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.07126948775055679,0.955363091272485,0,1,1,1,1,-0.01733997483652712,0.2675670842466502,3,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.0400890868596882,0.9700199866755497,0,1,1,1,1,0.11969944901380437,0.6600304578029856,4,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.042316258351893093,0.9600266489007329,11,1,1,1,1,0.11969944901380437,0.6600304578029856,4,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_075,0.0467706013363029,0.9633577614923384,11,1,1,1,1,0.12537092551411946,0.9808842411242003,4,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_085,0.051224944320712694,0.9613590939373751,11,1,1,1,1,0.16037757683067755,0.9920529037609143,4,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
RRH_FD_adaptive,0.04899777282850779,0.9613590939373751,11,1,1,1,1,0.11969944901380437,0.6600304578029856,4,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Liu_F_offline,0.1091314031180401,0.9267155229846769,2,1,1,1,1,0.002888663415386987,0.24821200707524405,5,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
Classical_Rolling,0.044543429844097995,0.9520319786808794,8,1,1,1,1,0.002888663415386987,0.24821200707524405,5,1,1,1,1,100,clean,step,0.06,50,0,none,none,0,0.875,9.458877175763885,6.853256436779176,7.505026270985082,7.134032100149046,7.186539362582045
